Date first seen          Duration Proto      Src IP Addr      Src IP Addr:Port       Dst IP Addr      Dst IP Addr:Port   Packets    Bytes Flows
2018-05-11 13:34:03.121,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:57766,       2,     406,    1
2018-05-11 13:34:03.040,    0.063,TCP  ,   192.168.1.100,   192.168.1.100:37906,      31.13.90.6,      31.13.90.6:443  ,      11,    1002,    1
2018-05-11 13:34:08.230,    0.048,TCP  ,  216.58.206.131,  216.58.206.131:443  ,   192.168.1.100,   192.168.1.100:38514,       5,    3179,    1
2018-05-11 13:34:05.995,    0.014,TCP  ,   192.168.1.100,   192.168.1.100:37910,      31.13.90.6,      31.13.90.6:443  ,       2,     100,    1
2018-05-11 13:34:05.993,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:33503,        10.0.2.3,        10.0.2.3:53   ,       2,     134,    1
2018-05-11 13:34:05.672,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:60909,       2,     472,    1
2018-05-11 13:34:08.987,    0.000,TCP  ,   192.168.1.100,   192.168.1.100:54728,      31.13.90.9,      31.13.90.9:443  ,       2,      80,    1
2018-05-11 13:34:09.460,    0.004,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:40194,       2,     498,    1
2018-05-11 13:34:08.176,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:36372,       2,     478,    1
2018-05-11 13:34:08.987,    0.000,TCP  ,      31.13.90.9,      31.13.90.9:443  ,   192.168.1.100,   192.168.1.100:54728,       2,     157,    1
2018-05-11 13:34:09.445,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:40194,        10.0.2.3,        10.0.2.3:53   ,       2,     148,    1
2018-05-11 13:34:08.173,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:36372,        10.0.2.3,        10.0.2.3:53   ,       2,     140,    1
